x ft rt rb rv rl ht hv hb hl 
4.897788193684468605e-01 1.349212037359645289e-01 1.383317512151069351e-01 1.368057403327667954e-01 4.836782678118505679e-02 4.555374883369198852e-02 1.097653130590052036e-20 1.103758084312107465e-20 2.625202253730986370e-20 2.705073028640515838e-20
5.011872336272730211e-01 1.380639222930964138e-01 1.378010900510741599e-01 1.362087403841382438e-01 4.829141134707056610e-02 4.535358408674942249e-02 1.099764212663761880e-20 1.106173936227052996e-20 2.627277572382216138e-20 2.711034853854226348e-20
5.128613839913656047e-01 1.412798441693201568e-01 1.372472404610322327e-01 1.355859492610428929e-01 4.821144527470189178e-02 4.514486992550702932e-02 1.101980638338279285e-20 1.108711192142837457e-20 2.629454723084944694e-20 2.717293622294054305e-20
5.248074602497733165e-01 1.445706744889822815e-01 1.366692800150014486e-01 1.349363702602867643e-01 4.812776638579304572e-02 4.492728565957038178e-02 1.104307948730445421e-20 1.111376321492689811e-20 2.631738876833299303e-20 2.723864871623163810e-20
5.370317963702535558e-01 1.479381580938775587e-01 1.360662584838464861e-01 1.342589797380374650e-01 4.804020539444937843e-02 4.470050297375606496e-02 1.106752005699266651e-20 1.114176175890399475e-20 2.634135486959577950e-20 2.730765025832795815e-20
5.495408738576254004e-01 1.513840804683872499e-01 1.354371979303213291e-01 1.335527276173533173e-01 4.794858562914076222e-02 4.446418622716680896e-02 1.109319013133158919e-20 1.117118015190968151e-20 2.636650306126035604e-20 2.738011452096297559e-20
5.623413251903499610e-01 1.549102686861664468e-01 1.347810929237455990e-01 1.328165380687298669e-01 4.785272274792692210e-02 4.421799282081166627e-02 1.112015539918082715e-20 1.120209535664525599e-20 2.639289404503962056e-20 2.745622521807871269e-20
5.754399373371578141e-01 1.585185923788828832e-01 1.340969108932837661e-01 1.320493103834050053e-01 4.775242444708761858e-02 4.396157364077677571e-02 1.114848544743194851e-20 1.123458900482361174e-20 2.642059189241558071e-20 2.753617676153808195e-20
5.888436553555899122e-01 1.622109647275201960e-01 1.333835926362915980e-01 1.312499200599999971e-01 4.764749016381874397e-02 4.369457358491864868e-02 1.117825402916600698e-20 1.126874772738625855e-20 2.644966425319721821e-20 2.762017496580191290e-20
6.025595860743586663e-01 1.659893434767720222e-01 1.326400529993913002e-01 1.304172201274504672e-01 4.753771077342008183e-02 4.341663218120100226e-02 1.120953935383288601e-20 1.130466351252482474e-20 2.648018257914186977e-20 2.770843780565195165e-20
6.165950018614831940e-01 1.698557319730639170e-01 1.318651817515258950e-01 1.295500427284176359e-01 4.742286828183356340e-02 4.312738430664252859e-02 1.124242440157794648e-20 1.134243409424674767e-20 2.651222236384764364e-20 2.780119623129694300e-20
6.309573444801942488e-01 1.738121802267543203e-01 1.310578446696129273e-01 1.286472009893753765e-01 4.730273551424434703e-02 4.282646101636421176e-02 1.127699726408422646e-20 1.138216337452077760e-20 2.654586340032396809e-20 2.789869504558120853e-20
6.456542290346566348e-01 1.778607859990772033e-01 1.302168848591308825e-01 1.277074912052950095e-01 4.717707580088176256e-02 4.251349049285831072e-02 1.131335151455923919e-20 1.142396188238562113e-20 2.658119005770642530e-20 2.800119384838899852e-20
6.606934480075971061e-01 1.820036959144025468e-01 1.293411243335126082e-01 1.267296953689988070e-01 4.704564266113725468e-02 4.218809912615526653e-02 1.135158660979962545e-20 1.146794727377894426e-20 2.661829157878441195e-20 2.810896805375960864e-20
6.760829753919829210e-01 1.862431065984054557e-01 1.284293658779876446e-01 1.257125840768921199e-01 4.690817948744209487e-02 4.184991273631654546e-02 1.139180832760229280e-20 1.151424487628976881e-20 2.665726240013900671e-20 2.822230998560418141e-20
6.918309709189376377e-01 1.905812658427457618e-01 1.274803952252595574e-01 1.246549198449235785e-01 4.676441923056846167e-02 4.149855795022937971e-02 1.143412924317252471e-20 1.156298828351679499e-20 2.669820249687080137e-20 2.834153005836745952e-20
7.079457843841391318e-01 1.950204737968772306e-01 1.264929835721595452e-01 1.235554608707363361e-01 4.661408408815793936e-02 4.113366374522113567e-02 1.147866924861250030e-20 1.161432000425679710e-20 2.674121775413134127e-20 2.846695804943639392e-20
7.244359600749913364e-01 1.995630841876168959e-01 1.254658904683294274e-01 1.224129652795659107e-01 4.645688519906251979e-02 4.075486317278323445e-02 1.152555612005746242e-20 1.166839217238176042e-20 2.678642036775381448e-20 2.859894447046718613e-20
7.413102413009188263e-01 2.042115055671225587e-01 1.243978671095073013e-01 1.212261958938343626e-01 4.629252234505698560e-02 4.036179527599716155e-02 1.157492613759371412e-20 1.172536732393771249e-20 2.683392927691325594e-20 2.873786204530272470e-20
7.585775750291851027e-01 2.089682025899387285e-01 1.232876600706929726e-01 1.199939255678144079e-01 4.612068366440119638e-02 3.995410721495205875e-02 1.162692476367934472e-20 1.178541924880280404e-20 2.688387063128931107e-20 2.888410730246954038e-20
7.762471166286931679e-01 2.138356973197892419e-01 1.221340155145076017e-01 1.187149431307513714e-01 4.594104537903927199e-02 3.953145661471293981e-02 1.168170738658127829e-20 1.184873392511476308e-20 2.693637829640000406e-20 2.903810229062674879e-20
7.943282347242829333e-01 2.188165705668087546e-01 1.209356839139088674e-01 1.173880599832167471e-01 4.575327154013972969e-02 3.909351415081897124e-02 1.173944013605525597e-20 1.191551054568613915e-20 2.699159440041142161e-20 2.920029642555252972e-20
8.128305161641007359e-01 2.239134632559225124e-01 1.196914253283105495e-01 1.160121173928766597e-01 4.555701379602718898e-02 3.863996638742862172e-02 1.180030077949814367e-20 1.198596264675127886e-20 2.704966992644255338e-20 2.937116847739807019e-20
8.317637711026726333e-01 2.291290778270996531e-01 1.184000152744095202e-01 1.145859945370012734e-01 4.535191118738646221e-02 3.817051888327613329e-02 1.186447970781970745e-20 1.206031935065817803e-20 2.711076535473609397e-20 2.955122870688286062e-20
8.511380382023780999e-01 2.344661796682226129e-01 1.170602512340666035e-01 1.131086173391683825e-01 4.513758997533984241e-02 3.768489958072469836e-02 1.193218102149517827e-20 1.213882673558499362e-20 2.717505135951611585e-20 2.974102115869881330e-20
8.709635899560823624e-01 2.399275985813324463e-01 1.156709598425439411e-01 1.115789681490171742e-01 4.491366350861760587e-02 3.718286249231137625e-02 1.200362372863984647e-20 1.222174934692152413e-20 2.724270956591091421e-20 2.994112611994078176e-20
8.912509381337472281e-01 2.455162302830272980e-01 1.142310048010625328e-01 1.099960963120616142e-01 4.467973213687875811e-02 3.666419169932205041e-02 1.207904306852588624e-20 1.230937186686071311e-20 2.731393337289909557e-20 3.015216274997100167e-20
9.120108393559115401e-01 2.512350379398097244e-01 1.127392955578706696e-01 1.083591296768152135e-01 4.443538317810535876e-02 3.612870567545584111e-02 1.215869197577391806e-20 1.240200096073497503e-20 2.738892884890506614e-20 3.037479188658711910e-20
9.332543007969928972e-01 2.570870537391966582e-01 1.111947968017393956e-01 1.066672870840527504e-01 4.418019094894933690e-02 3.557626194769188815e-02 1.224284270253322977e-20 1.249996732096936405e-20 2.746791570742015027e-20 3.060971903065239434e-20
9.549925860214378837e-01 2.630753804974256260e-01 1.095965388109308575e-01 1.049198918804888081e-01 4.391371686797436447e-02 3.500676210473544631e-02 1.233178861835736116e-20 1.260362793209206400e-20 2.755112837086522694e-20 3.085769750767340965e-20
